pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_utila,tip_imobil,zona,lat,long
118500,"Bucuresti, Sector 3, zona Mihai Bravu   190 m (2 minute)",2020.0,decomandat,lux,Etaj 2,1,1.0,2.0,3.0,1.0,1.0,D+P+2E+M,beton,84.55,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
90000,"Bucuresti, Sector 3, zona Mihai Bravu   190 m (2 minute)",2020.0,decomandat,lux,Etaj 1,1,1.0,1.0,2.0,1.0,1.0,D+P+2E+M,beton,64.25,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
83000,"Bucuresti, Sector 3, zona Mihai Bravu   330 m (4 minute)",2020.0,decomandat,lux,Etaj 5,1,1.0,1.0,2.0,0.0,,D+P+6E,beton,56.75,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
80000,"Bucuresti, Sector 3, zona Mihai Bravu   340 m (4 minute)",2020.0,decomandat,lux,Etaj 5,1,1.0,1.0,2.0,0.0,,D+P+6E,beton,54.8,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
82500,"Bucuresti, Sector 3, zona Mihai Bravu   190 m (2 minute)",2020.0,decomandat,lux,Etaj 2,1,1.0,1.0,2.0,1.0,1.0,D+P+2E+M,beton,60.95,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
132000,"Bucuresti, Sector 3, zona Mihai Bravu   320 m (4 minute)",2020.0,decomandat,lux,Etaj 4,1,1.0,2.0,3.0,0.0,,D+P+6E,beton,90.5,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
87857,"Bucuresti, Sector 3, zona Mihai Bravu",2020.0,,,Etaj 3,1,1.0,1.0,2.0,0.0,,,beton,52.17,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
80000,"Bucuresti, zona Mihai Bravu",2018.0,semidecomandat,1,Etaj 1,1,1.0,1.0,2.0,0.0,,P+10E,caramida,54.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
146500,"Bucuresti, Sector 3, zona Mihai Bravu",2020.0,decomandat,1,Mansarda,2,1.0,2.0,3.0,0.0,,D+P+2E+M,beton,82.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
330000,"Bucuresti, Sector 3, zona Mihai Bravu   90 m (1 minut)",2016.0,decomandat,lux,Etaj 5,0,1.0,4.0,5.0,1.0,1.0,D+P+5E+M,beton,177.51,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
120500,"Bucuresti, zona Mihai Bravu   150 m (2 minute)",2018.0,decomandat,1,Etaj 5,0,1.0,2.0,3.0,0.0,,P+9E,beton,83.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
93800,"Bucuresti, Sector 3, zona Mihai Bravu   260 m (3 minute)",2020.0,decomandat,1,Etaj 3,1,1.0,1.0,2.0,0.0,,S+P+11E,beton,51.43,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
130000,"Bucuresti, Sector 3, zona Mihai Bravu   90 m (1 minut)",2018.0,decomandat,lux,Etaj 2,1,1.0,2.0,3.0,0.0,,S+P+9E,beton,95.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
110000,"Bucuresti, zona Mihai Bravu",2012.0,decomandat,lux,Etaj 2,1,1.0,1.0,3.0,0.0,,P+4E,,67.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
74500,"Bucuresti, Sector 4, zona Mihai Bravu",2019.0,decomandat,1,Etaj 6,1,1.0,1.0,2.0,0.0,,P+10E,beton,57.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
93800,"Bucuresti, Sector 3, zona Mihai Bravu   50 m (1 minut)",2018.0,decomandat,1,Etaj 3,1,1.0,1.0,2.0,0.0,,S+P+10E,beton,57.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
79800,"Bucuresti, zona Mihai Bravu   150 m (2 minute)",2017.0,decomandat,1,Etaj 5,0,1.0,1.0,2.0,0.0,,P+9E,beton,55.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
99900,"Bucuresti, Sector 3, zona Mihai Bravu   510 m (6 minute)",1985.0,semidecomandat,1,Parter,0,1.0,2.0,4.0,0.0,,P+8E,beton,85.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
