pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_constr,supraf_utila,supraf_utila_totala,tip_imobil,zona,lat,long
90000,"Bucuresti, Sector 3, zona Mihai Bravu   190 m (2 minute)",2020,decomandat,lux,Etaj 1,1,1,1,2,1,1,D+P+2E+M,beton,74,64.25,64.25,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
83000,"Bucuresti, Sector 3, zona Mihai Bravu   330 m (4 minute)",2020,decomandat,lux,Etaj 5,1,1,1,2,,,D+P+6E,beton,66,56.75,56.75,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
80000,"Bucuresti, Sector 3, zona Mihai Bravu   340 m (4 minute)",2020,decomandat,lux,Etaj 5,1,1,1,2,,,D+P+6E,beton,63,54.8,54.8,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
82500,"Bucuresti, Sector 3, zona Mihai Bravu   190 m (2 minute)",2020,decomandat,lux,Etaj 2,1,1,1,2,1,1,D+P+2E+M,beton,70,60.95,60.95,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
132000,"Bucuresti, Sector 3, zona Mihai Bravu   320 m (4 minute)",2020,decomandat,lux,Etaj 4,1,1,2,3,,,D+P+6E,beton,105,90.5,90.5,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
87857,"Bucuresti, Sector 3, zona Mihai Bravu",2020,,,Etaj 3,1,1,1,2,,,,beton,75.96,52.17,61.99,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
80000,"Bucuresti, zona Mihai Bravu",2018,semidecomandat,1,Etaj 1,1,1,1,2,,,P+10E,caramida,64.26,54,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
146500,"Bucuresti, Sector 3, zona Mihai Bravu",2020,decomandat,1,Mansarda,2,1,2,3,,,D+P+2E+M,beton,140,82,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
330000,"Bucuresti, Sector 3, zona Mihai Bravu   90 m (1 minut)",2016,decomandat,lux,Etaj 5,,1,4,5,1,1,D+P+5E+M,beton,213,177.51,177.51,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
120500,"Bucuresti, zona Mihai Bravu   150 m (2 minute)",2018,decomandat,1,Etaj 5,,1,2,3,,,P+9E,beton,101,83,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
93800,"Bucuresti, Sector 3, zona Mihai Bravu   260 m (3 minute)",2020,decomandat,1,Etaj 3,1,1,1,2,,,S+P+11E,beton,55.54,51.43,51.43,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
130000,"Bucuresti, Sector 3, zona Mihai Bravu   90 m (1 minut)",2018,decomandat,lux,Etaj 2,1,1,2,3,,,S+P+9E,beton,95,95,95,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
110000,"Bucuresti, zona Mihai Bravu",2012,decomandat,lux,Etaj 2,1,1,1,3,,,P+4E,,84,67,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
74500,"Bucuresti, Sector 4, zona Mihai Bravu",2019,decomandat,1,Etaj 6,1,1,1,2,,,P+10E,beton,64,57,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
