pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_constr,supraf_utila,supraf_utila_totala,tip_imobil,zona,lat,long
550000,"Bucuresti, zona Herastrau",2006,decomandat,lux,Etaj 4,,1,3,4,,2,P+6E,beton,250,175,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
660000,"Bucuresti, zona Herastrau",2013,semidecomandat,lux,Etaj 2,,1,3,5,,2,P+4E,beton,290,231,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
205000,"Bucuresti, Sector 1, zona Herastrau",2016,decomandat,lux,Etaj 4,1,1,1,2,1,1,S+P+13E,beton,94.54,64.09,78.78,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
119748,"Bucuresti, zona Herastrau",2020,semidecomandat,lux,Etaj 3,,1,1,2,,,D+P+6E,beton,58.13,48,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
1270000,"Bucuresti, zona Herastrau",2014,decomandat,lux,Etaj 5,,1,4,4,,2,P+6E,beton,425,214,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
119748,"Bucuresti, zona Herastrau",2020,semidecomandat,lux,Etaj 3,,1,1,2,,,D+P+6E,beton,58.13,48,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
1200000,"Bucuresti, zona Herastrau   470 m (6 minute)",2019,semidecomandat,lux,Etaj 8,,1,3,4,,2,P+9E,beton,394,160,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
1270000,"Bucuresti, zona Herastrau",2014,decomandat,lux,Etaj 5,,1,4,4,,2,P+6E,beton,425,214,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
950000,"Bucuresti, Sector 1, zona Herastrau   490 m (6 minute)",2019,semidecomandat,lux,Etaj 8,3,1,3,4,,,S+P+10E,beton,394,160,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
141622,"Bucuresti, Sector 1, zona Herastrau",2020,decomandat,lux,Etaj 1,1,1,1,2,,,S+P+5E,beton,70.11,57.6,57.6,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
179000,"Bucuresti, zona Herastrau",2012,semidecomandat,lux,Etaj 1,,1,1,2,,,P+6E,beton,92,64,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
280000,"Bucuresti, zona Herastrau",2008,decomandat,lux,Etaj 4,2,1,2,4,1,,P+6E,beton,173,130.95,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
320000,"Bucuresti, zona Herastrau",2018,semidecomandat,lux,Etaj 2,,1,2,3,,1,P+11E,beton,121,82,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
265000,"Bucuresti, zona Herastrau",2009,semidecomandat,lux,Etaj 3,,1,2,3,,,P+5E,beton,150,130,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
1600000,"Bucuresti, zona Herastrau",2018,decomandat,lux,Etaj 9,,1,4,5,,,P+11E,beton,331,283,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
220000,"Bucuresti, zona Herastrau",2011,decomandat,lux,Etaj 2,1,1,2,3,,,P+6E,beton,139,112,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
206550,"Bucuresti, zona Herastrau",2020,decomandat,lux,Etaj 2,1,1,2,3,,,D+P+5E,beton,101.25,84.02,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
299000,"Bucuresti, zona Herastrau   800 m (10 minute)",2018,decomandat,lux,Etaj 1,2,1,2,3,,1,P+5E,beton,100,90,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
359000,"Bucuresti, zona Herastrau",2008,decomandat,lux,Etaj 2,3,1,3,4,,1,P+5E,beton,250,173,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
400000,"Bucuresti, zona Herastrau",2017,decomandat,lux,Etaj 1,,1,3,4,,,P+11E,beton,208.17,173.31,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
1600000,"Bucuresti, zona Herastrau",2018,decomandat,lux,Etaj 9,,1,4,5,,,P+11E,beton,331,283,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
210000,"Bucuresti, zona Herastrau",2018,semidecomandat,lux,Etaj 2,1,1,1,2,,,P+11E,beton,96.4,65.42,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
210000,"Bucuresti, zona Herastrau",2018,decomandat,lux,Etaj 3,1,1,1,2,,1,P+13E,altele,85,70,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
690000,"Bucuresti, zona Herastrau",2017,decomandat,lux,Etaj 10,1,1,3,4,1,,P+12E,beton,174,133,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
291000,"Bucuresti, zona Herastrau",2018,decomandat,lux,Etaj 4,,1,2,3,1,,P+11E,beton,135,98,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
299500,"Bucuresti, zona Herastrau",2007,decomandat,lux,Etaj 1,,1,2,4,1,,P+6E,beton,175,137,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
189000,"Bucuresti, zona Herastrau",2006,decomandat,lux,Parter,,1,1,2,,,P+5E,beton,80,65,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
189000,"Bucuresti, zona Herastrau",2006,decomandat,lux,Parter,,1,1,2,,,P+5E,beton,80,65,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
359990,"Bucuresti, Sector 1, zona Herastrau",2015,decomandat,1,Etaj 2,2,1,1,3,,,P+13E,beton,127,108,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
775000,"Bucuresti, zona Herastrau",2017,decomandat,lux,Etaj 7,,1,4,5,1,,P+11E,beton,347,254,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
775000,"Bucuresti, zona Herastrau",2017,decomandat,lux,Etaj 7,,1,4,5,1,,P+11E,beton,347,254,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
340000,"Bucuresti, zona Herastrau",2011,decomandat,lux,Etaj 2,2,1,3,3,2,2,P+5E,beton,202,154.83,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
399000,"Bucuresti, Sector 1, zona Herastrau",2006,decomandat,lux,Etaj 2,2,1,3,4,1,1,S+P+4E,beton,205,160,174,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
360000,"Bucuresti, Sector 1, zona Herastrau",2016,decomandat,lux,Etaj 4,1,1,2,3,1,1,S+P+13E,beton,125.76,118.56,118.56,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
335000,"Bucuresti, zona Herastrau",2009,decomandat,1,Etaj 3,1,1,2,3,,1,S+P+6E,beton,125,95,110,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
335000,"Bucuresti, zona Herastrau",2009,decomandat,1,Etaj 3,1,1,2,3,,1,S+P+6E,beton,125,95,110,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
590000,"Bucuresti, zona Herastrau",2016,decomandat,lux,Etaj 6,1,1,3,5,1,1,P+7E,,350,310,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
1150000,"Bucuresti, zona Herastrau",2007,decomandat,lux,Etaj 6,1,1,4,4,,1,P+6E,altele,339,237,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
175000,"Bucuresti, Sector 1, zona Herastrau",2016,decomandat,lux,Etaj 2,1,1,1,2,1,1,S+P+13E,beton,57.58,53.19,53.19,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
215000,"Bucuresti, Sector 1, zona Herastrau",2016,decomandat,lux,Etaj 4,1,1,1,2,1,1,S+P+13E,beton,100.68,63.83,88.6,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
335000,"Bucuresti, zona Herastrau",2009,decomandat,1,Etaj 3,1,1,2,3,,1,S+P+6E,beton,125,95,110,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
360000,"Bucuresti, Sector 1, zona Herastrau",2016,decomandat,lux,Etaj 4,1,1,2,3,1,1,S+P+13E,beton,125.76,118.56,118.56,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
399000,"Bucuresti, Sector 1, zona Herastrau",2006,decomandat,lux,Etaj 2,2,1,3,4,1,1,S+P+4E,beton,205,160,174,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
165000,"Bucuresti, zona Herastrau",2003,decomandat,lux,Etaj 2,,1,1,2,,,P+3E,beton,60,51,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
869888,"Bucuresti, zona Herastrau",2006,decomandat,lux,Etaj 1,,1,3,3,1,,P+5E,beton,245,171.9,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
430000,"Bucuresti, Sector 1, zona Herastrau",2017,decomandat,1,Etaj 1,1,1,3,3,,2,S+P+9E,beton,175,115,143,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
360000,"Bucuresti, Sector 1, zona Herastrau",2016,decomandat,lux,Etaj 2,2,1,2,3,1,1,S+P+13E,beton,130,108.79,108.79,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
590000,"Bucuresti, zona Herastrau",2016,decomandat,lux,Etaj 6,1,1,3,5,1,1,P+7E,,350,310,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
375000,"Bucuresti, zona Herastrau   740 m (9 minute)",2018,decomandat,1,Etaj 1,2,1,3,4,,1,P+3E+M,beton,212.79,150.24,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
500000,"Bucuresti, zona Herastrau",2009,decomandat,lux,Etaj 3,1,1,3,4,1,1,P+6E,,210,135,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
294100,"Bucuresti, zona Herastrau",2017,semidecomandat,lux,Etaj 6,1,1,3,4,1,1,P+6E,beton,300,150,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
200000,"Bucuresti, zona Herastrau   740 m (9 minute)",2018,decomandat,1,Parter,,1,2,2,,1,P+3E+M,beton,105.87,76.22,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
390000,"Bucuresti, Sector 1, zona Herastrau",2007,decomandat,lux,Etaj 2,2,1,3,4,,1,S+P+5E,,182,169,169,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
485000,"Bucuresti, zona Herastrau   740 m (9 minute)",2018,decomandat,lux,Etaj 3,1,1,2,5,,1,P+3E+M,beton,360.9,250,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
124900,"Bucuresti, zona Herastrau",2013,decomandat,lux,,,,,2,,,P+6E,,,70,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
228000,"Bucuresti, zona Herastrau",2002,decomandat,lux,Etaj 2,,,2,3,,,P+4E,,,101,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
250000,"Bucuresti, zona Herastrau",2009,semidecomandat,lux,Etaj 1,1,1,2,3,,1,P+4E,beton,120,100,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
219000,"Bucuresti, Sector 1, zona Herastrau",2014,semidecomandat,1,Parter,,1,2,3,,,S+P+6E,beton,150,74,139,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
170000,"Bucuresti, zona Herastrau   740 m (9 minute)",2018,decomandat,1,Parter,,1,1,2,,1,P+3E+M,beton,79.5,56.91,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
390000,"Bucuresti, zona Herastrau",,,lux,Parter,,,3,3,,,P+3E,,,182,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
479000,"Bucuresti, zona Herastrau",2008,decomandat,lux,Etaj 5,,1,3,4,1,,P+5E,beton,,170.95,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
370000,"Bucuresti, zona Herastrau",2008,semidecomandat,lux,Etaj 1,3,1,3,4,1,1,P+5E,beton,230,170,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
350000,"Bucuresti, zona Herastrau",2008,decomandat,1,Etaj 2,,1,,4,,1,P+5E,beton,230,172.9,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
230000,"Bucuresti, zona Herastrau   720 m (9 minute)",2000,decomandat,lux,Etaj 4,,,2,4,,,P+4E,,,130,,casa/vila,"Herastrau, Bucuresti, Romania",44.46895,26.08834
228000,"Bucuresti, Sector 1, zona Herastrau",2002,semidecomandat,1,Etaj 2,1,1,2,3,,,P+4E,beton,100,85,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
256000,"Bucuresti, zona Herastrau",2017,decomandat,1,Etaj 2,,,2,3,,,P+8E,,,110,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
569000,"Bucuresti, zona Herastrau",2015,decomandat,lux,Etaj 1,1,2,2,4,,,P+13E,beton,185,170,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
195000,"Bucuresti, zona Herastrau",2009,semidecomandat,1,Etaj 5,,1,1,2,,1,P+6E,beton,86.4,62,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
180000,"Bucuresti, Sector 1, zona Herastrau   510 m (6 minute)",2009,semidecomandat,1,Etaj 8,,1,1,2,,,P+9E,beton,78,65,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
421000,"Bucuresti, zona Herastrau",,decomandat,lux,Etaj 1,,,2,3,,,P+4E,,,153,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
550000,"Bucuresti, zona Herastrau   490 m (6 minute)",2019,decomandat,lux,Etaj 8,,1,3,4,,2,P+10E,beton,230,151,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
387500,"Bucuresti, zona Herastrau",2011,decomandat,lux,Etaj 2,,1,3,3,1,2,P+4E,beton,,155,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
141060,"Bucuresti, zona Herastrau",2020,semidecomandat,lux,Parter,,1,2,2,,,P+6E,beton,70.53,47.24,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
246600,"Bucuresti, Sector 1, zona Herastrau",2020,decomandat,1,Etaj 10,2,1,2,4,,,S+P+11E,,300,247,247,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
264500,"Bucuresti, zona Herastrau",2018,semidecomandat,1,Etaj 2,2,1,2,3,1,1,P+6E,beton,108,85,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
255000,"Bucuresti, Sector 1, zona Herastrau",2008,semidecomandat,1,Etaj 1,1,1,1,3,,,P+3E,beton,127,101,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
295900,"Bucuresti, zona Herastrau",2020,semidecomandat,lux,Parter,,1,2,3,,,P+6E,beton,147.95,91.7,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
119748,"Bucuresti, zona Herastrau",2020,semidecomandat,lux,Etaj 3,,1,1,2,,,P+6E,beton,58.13,48,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
320000,"Bucuresti, zona Herastrau",2013,decomandat,1,Etaj 1,,1,3,4,,,P+6E,beton,144,120,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
460000,"Bucuresti, zona Herastrau",2008,decomandat,lux,Etaj 5,,1,3,4,1,,P+5E,beton,,156,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
430000,"Bucuresti, zona Herastrau",2017,decomandat,lux,Etaj 1,1,1,2,3,1,2,P+12E,beton,130,120,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
1195000,"Bucuresti, Sector 1, zona Herastrau",2020,decomandat,1,Etaj 10,4,1,3,4,,,S+P+12E,beton,350,248,290,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
290000,"Bucuresti, Sector 2, zona Herastrau   600 m (8 minute)",2019,decomandat,lux,Etaj 8,2,1,2,3,,,S+P+11E,beton,173,104.26,138.98,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
290000,"Bucuresti, Sector 2, zona Herastrau   600 m (8 minute)",2019,decomandat,lux,Etaj 8,2,1,2,3,,,S+P+11E,beton,173,104.26,138.98,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
290000,"Bucuresti, Sector 2, zona Herastrau   600 m (8 minute)",2019,decomandat,lux,Etaj 8,2,1,2,3,,,S+P+11E,beton,173,104.26,138.98,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
247960,"Bucuresti, zona Herastrau",2020,decomandat,lux,Parter,1,1,2,3,,,P+5E,beton,123.98,94.77,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
530000,"Bucuresti, zona Herastrau",2020,decomandat,lux,Etaj 5,,1,3,4,,,P+5E,beton,232.31,201.76,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
215000,"Bucuresti, Sector 1, zona Herastrau",2005,semidecomandat,1,Parter,,1,1,2,,,P+4E,beton,100,90,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
163095,"Bucuresti, zona Herastrau",2020,decomandat,lux,Etaj 1,1,1,1,2,,,P+5E,beton,80.74,68.4,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
230000,"Bucuresti, zona Herastrau",2000,decomandat,lux,Etaj 4,1,1,2,3,1,1,P+5E,beton,150,85.57,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
141360,"Bucuresti, zona Herastrau",2020,decomandat,lux,,,1,2,2,,,D+P+5E,beton,70.68,53.7,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
228000,"Bucuresti, zona Herastrau",2002,decomandat,lux,Etaj 2,1,1,2,3,1,,P+4E,beton,110,101,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
305000,"Bucuresti, zona Herastrau",2007,semidecomandat,lux,Etaj 1,1,1,3,4,,,P+5E,beton,147,137,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
215000,"Bucuresti, Sector 1, zona Herastrau",2018,decomandat,lux,Etaj 3,1,1,2,3,,,P+6E,beton,105,88,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
255000,"Bucuresti, zona Herastrau",2006,semidecomandat,lux,Etaj 1,1,1,2,3,,1,P+3E,altele,148,110,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
420500,"Bucuresti, zona Herastrau",2007,decomandat,lux,Etaj 1,3,1,2,3,,2,P+4E,altele,229,160,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
600000,"Bucuresti, zona Herastrau",2020,decomandat,lux,Etaj 5,,1,3,5,,,P+5E,beton,232.31,201.63,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
315000,"Bucuresti, zona Herastrau",2008,decomandat,lux,Etaj 1,1,1,2,3,,,P+6E,beton,127,107,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
580000,"Bucuresti, Sector 1, zona Herastrau",2007,decomandat,lux,Etaj 3,2,1,3,4,2,2,S+P+3E,beton,323.45,196,279,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
180000,"Bucuresti, zona Herastrau   630 m (8 minute)",2017,nedecomandat,lux,Etaj 7,,1,1,,,,P+12E,beton,53.2,41,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
215000,"Bucuresti, Sector 1, zona Herastrau   620 m (8 minute)",2018,semidecomandat,lux,Etaj 5,1,1,1,2,,,S+P+13E,beton,78,55,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
790000,"Bucuresti, zona Herastrau",2006,decomandat,lux,Parter,,1,2,5,,2,P+3E,beton,250,200,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
220000,"Bucuresti, zona Herastrau",2008,semidecomandat,lux,Etaj 2,,1,2,3,1,,P+6E,beton,116,85,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
230000,"Bucuresti, Sector 1, zona Herastrau   700 m (9 minute)",2000,decomandat,1,Etaj 4,1,1,2,3,,,P+5E,beton,132,115,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
405000,"Bucuresti, zona Herastrau",2007,decomandat,lux,Etaj 1,1,1,3,5,,,P+5E,beton,196,166,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
280000,"Bucuresti, Sector 1, zona Herastrau",2007,decomandat,lux,Parter,1,1,2,3,,,S+P,beton,170,153,153,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
142026,"Bucuresti, zona Herastrau",2020,semidecomandat,lux,Etaj 3,,1,1,2,,,P+6E,beton,70.31,52.42,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
250000,"Bucuresti, zona Herastrau   680 m (9 minute)",2017,decomandat,lux,Etaj 2,,1,2,3,,,P+5E,beton,160,113,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
1400000,"Bucuresti, Sector 1, zona Herastrau",2009,decomandat,lux,Etaj 5,1,1,3,5,,,P+6E,beton,405,316,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
176000,"Bucuresti, zona Herastrau",2008,semidecomandat,lux,Etaj 5,,1,2,3,,,P+6E,beton,90,77,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
230000,"Bucuresti, zona Herastrau   800 m (10 minute)",2000,decomandat,lux,Etaj 4,,,2,3,,,P+5E,,,85,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
445000,"Bucuresti, Sector 1, zona Herastrau",2007,decomandat,lux,Etaj 5,2,1,3,4,,,P+6E,beton,355,165,323,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
310000,"Bucuresti, Sector 1, zona Herastrau",2007,decomandat,lux,Etaj 3,2 (închise),1,2,3,1,1,S+P+5E,beton,145,130,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
244700,"Bucuresti, zona Herastrau",2020,decomandat,lux,Etaj 2,1,1,2,3,,,P+5E,beton,97.88,81.37,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
445000,"Bucuresti, zona Herastrau",2015,decomandat,lux,Etaj 5,1,1,3,4,1,1,P+6E,,400,320,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
419000,"Bucuresti, zona Herastrau",2007,decomandat,1,Etaj 1,3,,2,3,1,2,P+4E,,170,153,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
454000,"Bucuresti, zona Herastrau",2004,decomandat,1,Parter,,,3,4,1,2,,beton,268,188,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
305000,"Bucuresti, zona Herastrau",2007,decomandat,lux,Etaj 1,,,3,4,,,P+5E,,,150,,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
290000,"Bucuresti, Sector 1, zona Herastrau",,semidecomandat,lux,Etaj 1,1,1,2,4,,1,S+P+4E,beton,135.2,115.75,121.86,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
359000,"Bucuresti, zona Herastrau",2005,decomandat,1,Etaj 6,,1,3,4,,2,S+P+6E,beton,260,135,233,bloc de apartamente,"Herastrau, Bucuresti, Romania",44.46895,26.08834
130000,"Bucuresti, Sector 2, zona Eminescu (Dacia)   800 m (10 minute)",2019,semidecomandat,lux,Etaj 2,1,1,1,2,,,S+P+8E,beton,79.89,55.82,63.76,bloc de apartamente,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
398000,"Bucuresti, zona Dacia   690 m (9 minute)",2019,decomandat,lux,Etaj 4,,,3,3,,,P+4E,,,400,,bloc de apartamente,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
89500,"Bucuresti, zona Dacia   760 m (10 minute)",2019,decomandat,lux,Etaj 1,,,,1,,,P+4E,,,40,,bloc de apartamente,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
170000,"Bucuresti, Sector 2, zona Eminescu (Dacia)   670 m (8 minute)",2019,semidecomandat,1,Etaj 1,1,1,2,3,,,S+P+3E,beton,80.15,65.97,71.87,bloc de apartamente,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
172000,"Bucuresti, Sector 2, zona Eminescu (Dacia)   800 m (10 minute)",2019,semidecomandat,lux,Etaj 1,1,1,2,3,,,S+D+P+8E,beton,105.39,75.58,84.88,bloc de apartamente,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
188000,"Bucuresti, Sector 2, zona Eminescu (Dacia)   800 m (10 minute)",2019,semidecomandat,lux,Etaj 1,1,1,2,3,,,S+P+8E,beton,115.46,81.07,94.01,bloc de apartamente,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
172000,"Bucuresti, Sector 2, zona Eminescu (Dacia)   800 m (10 minute)",2019,semidecomandat,lux,Etaj 1,1,1,2,3,,,S+D+P+8E,beton,105.39,75.58,84.88,bloc de apartamente,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
195000,"Bucuresti, Sector 2, zona Dacia",2019,decomandat,lux,Etaj 2,1,1,2,3,,,S+P+8E,beton,119,100,,bloc de apartamente,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
90000,"Bucuresti, Sector 2, zona Dacia",2020,decomandat,lux,Etaj 3,1,1,1,2,,,S+P+5E,beton,66,55.2,55.2,bloc de apartamente,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
121000,"Bucuresti, Sector 2, zona Polona (Dacia)   400 m (5 minute)",1940,semidecomandat,1,Etaj 1,1,1,2,4,,,P+1E,caramida,135,120,,casa/vila,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
121000,"Bucuresti, Sector 2, zona Polona (Dacia)   400 m (5 minute)",1940,semidecomandat,1,Etaj 1,1,1,2,4,,,P+1E,caramida,135,120,,casa/vila,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
112000,"Bucuresti, zona Dacia",1947,circular,1,Parter,,1,2,4,,,P+6E,caramida,95,90,,bloc de apartamente,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
245000,"Bucuresti, Sector 2, zona Gradina Icoanei (Dacia)   690 m (9 minute)",1940,decomandat,1,Parter,,1,2,3,,,P+1E,beton,140,120,,casa/vila,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
350000,"Bucuresti, Sector 1, zona Polona (Dacia)   420 m (5 minute)",2018,decomandat,lux,Etaj 4,1,1,2,4,1,2,S+P+4E,beton,200,92,187,bloc de apartamente,"Dacia, Bucuresti, Romania",44.44681,26.095760000000002
